rownames,district,school,county,grades,students,teachers,calworks,lunch,computer,expenditure,income,english,read,math,player,religiousness,source,name,persons,games,f_other,n_other,allstudents,occupation
382,70623,Bennett Valley Union Elementary,Sonoma,KK-06,945,46.0,4.239900112,10.65149975,216,5088.708008,19.3465004,2.539682627,685.7000122,674.4000244,Sébastien Puygrenier,2,MWR,Carol,1,9,3,5,157,5
383,69500,Loma Prieta Joint Union Elemen,Santa Clara,KK-08,738,39.70199966,0.0,0.6775000095,220,5390.118164,36.17399979,0.5420054197,684.2000122,676.7000122,Pavel Pogrebnyak,5,MWR,Edna,4,2,3,5,177,6
384,70789,Kenwood Elementary,Sonoma,KK-06,164,10.51000023,2.352900028,12.94120026,35,6588.430664,22.86333466,11.58536625,682.7999878,679.7999878,John Utaka,3,MWR,Hazel,4,8,3,5,45,6
385,70797,Liberty Elementary,Sonoma,KK-06,167,10.92000008,0.5207999945,11.45829964,29,6196.694824,17.70899963,11.37724495,680.7999878,681.7999878,Youssuf Mulumbu,4,MWR,Connie,2,1,3,5,16,5
386,71142,Knights Ferry Elementary,Stanislaus,KK-08,125,7.079999924,4.0,14.39999962,25,4645.413086,14.17700005,0.0,688.5,674.7000122, Azpilicueta,2,MWR,Diane,4,1,4,6,19,4
387,65334,Kentfield Elementary,Marin,KK-08,1091,62.06000137,0.5367000103,0.5367000103,113,6489.928711,41.0929985,1.37488544,689.7999878,674.0,Shola Ameobi,4,MWR,Ione,4,7,4,6,11,6
388,69104,Ballard Elementary,Santa Barbara,KK-06,134,6.0,0.7462999821,3.731300116,27,5094.958984,21.95700073,2.238806009,681.7999878,682.5,Mathieu Debuchy,5,MWR,Flossy,3,15,7,10,13,4
389,70839,Oak Grove Union Elementary,Sonoma,KK-08,600,32.0,2.694099903,29.31850052,55,4841.958496,16.06399918,5.333333492,680.0,684.9000244,Ashkan Dejagah,2,uri,Audrey,2,5,7,10,20,6
390,75002,Ross Valley Elementary,Marin,KK-08,1803,99.59999847,1.924200058,3.621999979,283,6315.3125,25.73699951,2.773155928,685.5999756,679.5,Takashi Usami,4,MWR,Helene,2,3,7,10,91,6
391,69773,Mountain Elementary,Santa Cruz,KK-06,158,7.800000191,13.75,16.25,15,5399.383301,20.47400093,0.0,687.2999878,678.0,Raphael Wolf,3,MWR,Debra,4,1,7,10,84,6
392,68882,Burlingame Elementary,San Mateo,KK-08,2392,127.2200012,1.421399951,6.270899773,439,5429.473633,35.81000137,17.72575188,682.4000244,684.2999878, Guly,4,MWR,Gracie,2,2,4,6,20,5
393,70003,Grant Elementary,Shasta,KK-08,526,28.02000046,3.992399931,11.40680027,33,5644.286133,13.56700039,0.0,684.5,682.2999878,Aleksandar Stevanović,5,http://www.nhc.noaa.gov/pdf/NWS-TPC-5.pdf,Donna,3,1,3,5,18,5
394,69757,Happy Valley Elementary,Santa Cruz,KK-06,141,6.909999847,10.07190037,9.352499962,44,6060.256836,20.0890007,0.0,680.4000244,688.2000122, Zé Castro,5,MWR,Ethel,3,1,3,5,17,4
395,69732,Bonny Doon Union Elementary,Santa Cruz,KK-06,235,12.60000038,4.660999775,5.932199955,30,5319.553711,18.28300095,0.425531894,688.5,680.2000122,Ragnar Klavan,4,MWR,Carla,1,1,7,10,67,5
396,61812,Walnut Creek Elementary,Contra Costa,KK-08,3280,158.3999939,2.752300024,7.859300137,406,4819.903809,25.23971558,6.067073345,682.2000122,687.4000244, Dani Alves,5,MWR,Cindy,2,2,7,10,17,5
397,69211,Hope Elementary,Santa Barbara,KK-06,1254,57.0,1.582299948,12.5,0,5208.226074,25.06299973,10.12759113,686.2000122,683.7000122,Branislav Ivanović,2,MWR,Cleo,4,1,7,10,14,5
398,65367,Larkspur Elementary,Marin,KK-08,948,53.56000137,1.793200016,1.898699999,155,5859.964844,30.62849998,3.375527382,692.2000122,679.9000244, Busquets,4,MWR,Dora,3,1,3,5,15,7
399,69419,Cupertino Union Elementary,Santa Clara,KK-08,15228,708.8300171,1.715399981,4.690899849,2232,4962.736816,27.47521591,8.648542404,683.0999756,690.2999878,Arnold Mvuemba,4,MWR,Hilda,3,1,3,5,10,1
400,69781,Pacific Elementary,Santa Cruz,KK-06,81,4.849999905,13.25300026,20.48189926,21,7614.379395,30.84000015,12.34567928,693.7999878,681.2999878,Glenn Whelan,5,MWR,Isbell,2,1,7,10,13,5
401,69526,Los Gatos Union Elementary,Santa Clara,KK-08,2768,141.3999939,0.4481000006,2.792099953,540,5566.467773,34.15950012,1.589595318,691.5999756,686.5999756,Jens Hegeler,5,MWR,Betsy,1,1,4,6,27,4
402,69252,Montecito Union Elementary,Santa Barbara,KK-06,535,31.0,0.07999999821,0.7200000286,84,7039.949219,43.22999954,1.495327115,693.5,688.5999756,Bakary Koné,2,MWR,Alma,2,4,7,10,254,1
403,68387,Solana Beach Elementary,San Diego,KK-06,2542,146.3000031,0.8260999918,9.677399635,404,6604.063965,27.94775009,10.38552284,687.7000122,695.0,Ian Harte,5,MWR,Inez,1,1,7,10,70,5
404,68965,Menlo Park City Elementary,San Mateo,KK-08,1940,111.8199997,0.4124000072,3.917500019,265,6180.148926,49.93899918,6.134020329,693.7000122,690.0999756,Mathias Autret,4,MWR,Beulah,2,1,7,10,65,5
405,65425,Reed Union Elementary,Marin,KK-08,1059,65.12000275,0.8499000072,1.416399956,272,6460.657227,55.32799911,2.266288996,695.9000244,692.0,Victor Moses,2,MWR,Gladys,3,1,7,10,19,1
406,65391,Mill Valley Elementary,Marin,KK-08,2340,132.1999969,1.581200004,2.435899973,403,6415.35498,35.48099899,2.47863245,693.5999756,694.9000244, Azpilicueta,2,MWR,Camille,1,7,7,10,16,7
407,61713,Lafayette Elementary,Contra Costa,KK-08,3469,172.3399963,0.0,0.1733999997,496,5230.876953,34.30099869,0.8936292529,697.9000244,691.7000122,Tony Jantschke,3,WIKI (http://en.wikipedia.org/wiki/Hurricane_Celia),Celia,2,3,9,13,10,5
408,68056,Del Mar Union Elementary,San Diego,KK-06,2106,115.3000031,1.709400058,2.611599922,300,5838.171875,38.62857056,2.421652317,695.0999756,695.2999878,Federico Macheda,4,MWR,Edith,3,1,9,13,36,1
409,69088,Woodside Elementary,San Mateo,KK-08,478,32.86999893,0.0,0.0,112,7711.506836,35.34199905,3.765690327,701.2999878,689.2999878, Jesús Vázquez,5,MWR,Fern,1,1,4,6,78,1
410,61747,Moraga Elementary,Contra Costa,KK-08,1885,98.41999817,0.05059999973,0.3032999933,241,5592.765137,31.05200005,1.962864757,697.4000244,695.7000122,Philippe Senderos,2,MWR,Ginger,4,3,7,10,96,4
411,61770,Orinda Union Elementary,Contra Costa,KK-08,2422,139.4700012,0.0,0.1238999963,466,5933.154297,40.26399994,0.5780346394,699.0999756,697.2999878,Julien Quercia,2,MWR,Agnes,3,1,3,5,581,3
412,68908,Hillsborough City Elementary,San Mateo,KK-08,1318,87.05999756,0.1517000049,0.0,412,7593.405762,35.81000137,2.807283878,695.4000244,701.0999756,Alex Smith,4,MWR,Carmen,1,1,3,5,12,6
413,69161,Cold Spring Elementary,Santa Barbara,KK-06,220,12.32999992,0.4544999897,0.0,22,6500.449707,43.22999954,1.363636374,693.2999878,703.5999756,Ludovic Obraniak,4,MWR,Eloise,3,12,3,5,44,4
414,68981,Portola Valley Elementary,San Mateo,KK-08,687,44.59000015,0.3048999906,0.0,209,7217.263184,50.67699814,1.164483309,698.2999878,699.9000244,Brett Williams,2,MWR,Belle,4,2,7,10,35,4
415,69682,Saratoga Union Elementary,Santa Clara,KK-08,2341,124.0899963,0.1709000021,0.59799999,286,5392.638672,40.40200043,2.050405741,698.9000244,701.7000122,Cristian Álvarez,3,MWR,Babe,4,1,4,6,127,1
416,68957,Las Lomitas Elementary,San Mateo,KK-08,984,59.72999954,0.1015999988,3.556900024,195,7290.338867,28.71699905,5.995934963,700.9000244,707.7000122,Gabriel Tamaş,2,MWR,Bob,1,1,3,5,16,7
417,69518,Los Altos Elementary,Santa Clara,KK-08,3724,208.4799957,1.074100018,1.503800035,721,5741.462891,41.73410797,4.726100922,704.0,709.5,Vadim Demidov,2,MWR,David,4,1,3,5,30,6
418,72611,Somis Union Elementary,Ventura,KK-08,441,20.14999962,3.563499928,37.19380188,45,4402.831543,23.7329998,24.26303864,648.2999878,641.7000122,Éric Abidal,2,MWR,Frederic,3,2,7,10,108,3
419,72744,Plumas Elementary,Yuba,KK-08,101,5.0,11.88119984,59.40589905,14,4776.336426,9.951999664,2.970297098,667.9000244,676.5,Karim Haggui,2,MWR,Allen,3,3,9,13,80,4
420,72751,Wheatland Elementary,Yuba,KK-08,1778,93.40000153,6.923500061,47.57120132,313,5993.392578,12.50199986,5.005624294,660.5,651.0,Artur Sobiech,2,MWR,Alicia,4,1,4,6,26,6
